route_id,service_id,trip_id,trip_headsign,block_id,shape_id
17-89,20141S-20141S-Sunday-02,2725869-20141S-20141S-Sunday-02,"17 - San Jose",474857,170025
17-89,20141S-20141S-Sunday-02,2725870-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro",474857,170033
17-89,20141S-20141S-Sunday-02,2725871-20141S-20141S-Sunday-02,"17 - San Jose via SVTC",474856,170024
17-89,20141S-20141S-Sunday-02,2725872-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro via SVTC",474856,170032
17-89,20141S-20141S-Sunday-02,2725873-20141S-20141S-Sunday-02,"17 - San Jose",474855,170025
17-89,20141S-20141S-Sunday-02,2725874-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro via SVTC",474855,170032
17-89,20141S-20141S-Sunday-02,2725875-20141S-20141S-Sunday-02,"17 - San Jose via SVTC",474857,170024
17-89,20141S-20141S-Sunday-02,2725876-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro",474857,170033
17-89,20141S-20141S-Sunday-02,2725877-20141S-20141S-Sunday-02,"17 - San Jose via SVTC",474857,170024
17-89,20141S-20141S-Sunday-02,2725878-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro via SVTC",474857,170032
17-89,20141S-20141S-Sunday-02,2725879-20141S-20141S-Sunday-02,"17 - San Jose",474856,170025
17-89,20141S-20141S-Sunday-02,2725880-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro via SVTC",474856,170032
17-89,20141S-20141S-Sunday-02,2725882-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro via SVTC",474856,170032
71-89,20141S-vs20141S-Weekday-23,2714052-20141S-vs20141S-Weekday-23,"71 - Watsonville via Clifford",473175,710012
71-89,20141S-vs20141S-Weekday-23,2714053-20141S-vs20141S-Weekday-23,"71 - Watsonville via Clifford",473135,710012
71-89,20141S-vs20141S-Weekday-23,2714054-20141S-vs20141S-Weekday-23,"71 - Santa Cruz via Clifford",473135,710016
66N-89,20141S-vs20141S-Weekday-23,2714055-20141S-vs20141S-Weekday-23,"66N - Live Oak via 17th-Night",473155,66N0002
66N-89,20141S-vs20141S-Weekday-23,2714056-20141S-vs20141S-Weekday-23,"66N - Live Oak via 17th-Night",473155,66N0003
69A-89,20141S-vs20141S-Weekday-23,2714057-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Watsonville TC",473146,69A0005
69A-89,20141S-vs20141S-Weekday-23,2714058-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Watsonville TC",473154,69A0005
69A-89,20141S-vs20141S-Weekday-23,2714059-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Watsonville TC",473215,69A0005
69A-89,20141S-vs20141S-Weekday-23,2714060-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Watsonville TC",473146,69A0005
69A-89,20141S-vs20141S-Weekday-23,2714061-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Watsonville TC",473136,69A0005
69A-89,20141S-vs20141S-Weekday-23,2714062-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Watsonville TC",473154,69A0005
69A-89,20141S-vs20141S-Weekday-23,2714063-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Watsonville TC",473216,69A0005
69A-89,20141S-vs20141S-Weekday-23,2714064-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Watsonville TC",473212,69A0005
69A-89,20141S-vs20141S-Weekday-23,2714065-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Watsonville TC",473136,69A0005
69A-89,20141S-vs20141S-Weekday-23,2714066-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Watsonville TC",473154,69A0005
69A-89,20141S-vs20141S-Weekday-23,2714067-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Watsonville TC",473216,69A0005
69A-89,20141S-vs20141S-Weekday-23,2714068-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Watsonville TC",473212,69A0005
69A-89,20141S-vs20141S-Weekday-23,2714069-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Santa Cruz Metro",473154,69A0006
69A-89,20141S-vs20141S-Weekday-23,2714070-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Santa Cruz Metro",473127,69A0006
69A-89,20141S-vs20141S-Weekday-23,2714071-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Santa Cruz Metro",473130,69A0006
69A-89,20141S-vs20141S-Weekday-23,2714072-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Santa Cruz Metro",473140,69A0006
69A-89,20141S-vs20141S-Weekday-23,2714073-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Santa Cruz Metro",473149,69A0006
69A-89,20141S-vs20141S-Weekday-23,2714074-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Santa Cruz Metro",473127,69A0006
69A-89,20141S-vs20141S-Weekday-23,2714075-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Santa Cruz Metro",473130,69A0006
69A-89,20141S-vs20141S-Weekday-23,2714076-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Santa Cruz Metro",473140,69A0006
69A-89,20141S-vs20141S-Weekday-23,2714077-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Santa Cruz Metro",473149,69A0006
69A-89,20141S-vs20141S-Weekday-23,2714078-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Santa Cruz Metro",473127,69A0006
69A-89,20141S-vs20141S-Weekday-23,2714079-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Santa Cruz Metro",473130,69A0006
69A-89,20141S-vs20141S-Weekday-23,2714080-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Santa Cruz Metro",473140,69A0006
69A-89,20141S-vs20141S-Weekday-23,2714081-20141S-vs20141S-Weekday-23,"69A - Capitola Road - Santa Cruz Metro",473149,69A0006
69W-89,20141S-vs20141S-Weekday-23,2714082-20141S-vs20141S-Weekday-23,"69W - Cabrillo College-Santa Cruz Metro",473140,69W0006
69W-89,20141S-vs20141S-Weekday-23,2714083-20141S-vs20141S-Weekday-23,"69W - Cabrillo College-Santa Cruz Metro",473146,69W0006
69W-89,20141S-vs20141S-Weekday-23,2714084-20141S-vs20141S-Weekday-23,"69W - Cabrillo College-Santa Cruz Metro",473154,69W0006
69W-89,20141S-vs20141S-Weekday-23,2714085-20141S-vs20141S-Weekday-23,"69W - Cabrillo College-Santa Cruz Metro",473215,69W0006
69W-89,20141S-vs20141S-Weekday-23,2714086-20141S-vs20141S-Weekday-23,"69W - Cabrillo College-Santa Cruz Metro",473146,69W0006
69W-89,20141S-vs20141S-Weekday-23,2714087-20141S-vs20141S-Weekday-23,"69W - Cabrillo College-Santa Cruz Metro",473136,69W0006
69W-89,20141S-vs20141S-Weekday-23,2714088-20141S-vs20141S-Weekday-23,"69W - Cabrillo College-Santa Cruz Metro",473154,69W0006
69W-89,20141S-vs20141S-Weekday-23,2714089-20141S-vs20141S-Weekday-23,"69W - Cabrillo College-Santa Cruz Metro",473216,69W0006
69W-89,20141S-vs20141S-Weekday-23,2714090-20141S-vs20141S-Weekday-23,"69W - Cabrillo College-Santa Cruz Metro",473212,69W0006
69W-89,20141S-vs20141S-Weekday-23,2714091-20141S-vs20141S-Weekday-23,"69W - Cabrillo College-Santa Cruz Metro",473136,69W0006
69W-89,20141S-vs20141S-Weekday-23,2714092-20141S-vs20141S-Weekday-23,"69W - Cabrillo College-Santa Cruz Metro",473154,69W0006
69W-89,20141S-vs20141S-Weekday-23,2714093-20141S-vs20141S-Weekday-23,"69W - Cabrillo College-Santa Cruz Metro",473216,69W0006
69W-89,20141S-vs20141S-Weekday-23,2714094-20141S-vs20141S-Weekday-23,"69W - Cabrillo College - Watsonville TC",473127,69W0005
69W-89,20141S-vs20141S-Weekday-23,2714095-20141S-vs20141S-Weekday-23,"69W - Cabrillo College - Watsonville TC",473130,69W0005
69W-89,20141S-vs20141S-Weekday-23,2714096-20141S-vs20141S-Weekday-23,"69W - Cabrillo College - Watsonville TC",473140,69W0005
69W-89,20141S-vs20141S-Weekday-23,2714097-20141S-vs20141S-Weekday-23,"69W - Cabrillo College - Watsonville TC",473149,69W0005
69W-89,20141S-vs20141S-Weekday-23,2714098-20141S-vs20141S-Weekday-23,"69W - Cabrillo College - Watsonville TC",473127,69W0005
69W-89,20141S-vs20141S-Weekday-23,2714099-20141S-vs20141S-Weekday-23,"69W - Cabrillo College - Watsonville TC",473130,69W0005
69W-89,20141S-vs20141S-Weekday-23,2714100-20141S-vs20141S-Weekday-23,"69W - Cabrillo College - Watsonville TC",473140,69W0005
69W-89,20141S-vs20141S-Weekday-23,2714101-20141S-vs20141S-Weekday-23,"69W - Cabrillo College - Watsonville TC",473149,69W0005
69W-89,20141S-vs20141S-Weekday-23,2714102-20141S-vs20141S-Weekday-23,"69W - Cabrillo College - Watsonville TC",473127,69W0005
69W-89,20141S-vs20141S-Weekday-23,2714103-20141S-vs20141S-Weekday-23,"69W - Cabrillo College - Watsonville TC",473130,69W0005
69W-89,20141S-vs20141S-Weekday-23,2714104-20141S-vs20141S-Weekday-23,"69W - Cabrillo College - Watsonville TC",473140,69W0005
69W-89,20141S-vs20141S-Weekday-23,2714105-20141S-vs20141S-Weekday-23,"69W - Cabrillo College - Watsonville TC",473149,69W0005
69W-89,20141S-vs20141S-Weekday-23,2714106-20141S-vs20141S-Weekday-23,"69W - Cabrillo College - Watsonville TC",473127,69W0005
69W-89,20141S-vs20141S-Weekday-23,2714107-20141S-vs20141S-Weekday-23,"69W - Cabrillo College-Santa Cruz Metro",473149,69W0006
71-89,20141S-vs20141S-Weekday-23,2714108-20141S-vs20141S-Weekday-23,"71 - Watsonville via Clifford",473142,710012
40-89,20141S-vs20141S-Weekday-23,2714109-20141S-vs20141S-Weekday-23,"40 - Davenport - North Coast Beaches",473141,400012
40-89,20141S-vs20141S-Weekday-23,2714110-20141S-vs20141S-Weekday-23,"40 - Davenport - North Coast Beaches",473172,400014
41-89,20141S-vs20141S-Weekday-23,2714111-20141S-vs20141S-Weekday-23,"41 - Bonny Doon",473126,410005
56-89,20141S-vs20141S-Weekday-23,2714112-20141S-vs20141S-Weekday-23,"56 - Cabrillo/La Selva Beach",473172,560003
56-89,20141S-vs20141S-Weekday-23,2714113-20141S-vs20141S-Weekday-23,"56 - Cabrillo/La Selva Beach",473163,560003
41-89,20141S-vs20141S-Weekday-23,2714114-20141S-vs20141S-Weekday-23,"41 - Bonny Doon",473213,410006
10-89,20141S-vs20141S-Weekday-23,2714115-20141S-vs20141S-Weekday-23,"10 - University via High St.",473136,100003
10-89,20141S-vs20141S-Weekday-23,2714116-20141S-vs20141S-Weekday-23,"10 - University via High St.",473136,100003
10-89,20141S-vs20141S-Weekday-23,2714117-20141S-vs20141S-Weekday-23,"10 - University via High St.",473142,100003
16-89,20141S-vs20141S-Weekday-23,2714118-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
16-89,20141S-vs20141S-Weekday-23,2714119-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
16-89,20141S-vs20141S-Weekday-23,2714120-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
10-89,20141S-vs20141S-Weekday-23,2714121-20141S-vs20141S-Weekday-23,"10 - University via High St.",473136,100003
16-89,20141S-vs20141S-Weekday-23,2714122-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
10-89,20141S-vs20141S-Weekday-23,2714123-20141S-vs20141S-Weekday-23,"10 - University via High St.",473154,100003
16-89,20141S-vs20141S-Weekday-23,2714124-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
10-89,20141S-vs20141S-Weekday-23,2714125-20141S-vs20141S-Weekday-23,"10 - University via High St.",473216,100003
16-89,20141S-vs20141S-Weekday-23,2714126-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
16-89,20141S-vs20141S-Weekday-23,2714127-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
16-89,20141S-vs20141S-Weekday-23,2714128-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
16-89,20141S-vs20141S-Weekday-23,2714129-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
16-89,20141S-vs20141S-Weekday-23,2714130-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
16-89,20141S-vs20141S-Weekday-23,2714131-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
16-89,20141S-vs20141S-Weekday-23,2714132-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
10-89,20141S-vs20141S-Weekday-23,2714133-20141S-vs20141S-Weekday-23,"10 - University via High St.",473212,100003
16-89,20141S-vs20141S-Weekday-23,2714134-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
16-89,20141S-vs20141S-Weekday-23,2714135-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
19-89,20141S-vs20141S-Weekday-23,2714136-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473132,190011
16-89,20141S-vs20141S-Weekday-23,2714137-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
19-89,20141S-vs20141S-Weekday-23,2714138-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473132,190011
19-89,20141S-vs20141S-Weekday-23,2714139-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473132,190011
19-89,20141S-vs20141S-Weekday-23,2714140-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473132,190011
19-89,20141S-vs20141S-Weekday-23,2714141-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473132,190011
19-89,20141S-vs20141S-Weekday-23,2714142-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473132,190011
10-89,20141S-vs20141S-Weekday-23,2714143-20141S-vs20141S-Weekday-23,"10 - University via High St.",473136,100003
16-89,20141S-vs20141S-Weekday-23,2714144-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
19-89,20141S-vs20141S-Weekday-23,2714145-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473143,190011
19-89,20141S-vs20141S-Weekday-23,2714146-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473143,190011
19-89,20141S-vs20141S-Weekday-23,2714147-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473143,190011
19-89,20141S-vs20141S-Weekday-23,2714148-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473143,190011
19-89,20141S-vs20141S-Weekday-23,2714149-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473143,190011
19-89,20141S-vs20141S-Weekday-23,2714150-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473149,190011
19-89,20141S-vs20141S-Weekday-23,2714151-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473143,190011
19-89,20141S-vs20141S-Weekday-23,2714152-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473143,190011
20-89,20141S-vs20141S-Weekday-23,2714153-20141S-vs20141S-Weekday-23,"20 - University via Westside",473130,200013
20-89,20141S-vs20141S-Weekday-23,2714154-20141S-vs20141S-Weekday-23,"20 - University via Westside",473127,200017
20-89,20141S-vs20141S-Weekday-23,2714155-20141S-vs20141S-Weekday-23,"20 - University via Westside",473149,200013
20-89,20141S-vs20141S-Weekday-23,2714156-20141S-vs20141S-Weekday-23,"20 - University via Westside",473140,200013
20-89,20141S-vs20141S-Weekday-23,2714157-20141S-vs20141S-Weekday-23,"20 - University via Westside",473143,200018
20-89,20141S-vs20141S-Weekday-23,2714158-20141S-vs20141S-Weekday-23,"20 - University via Westside",473130,200013
20-89,20141S-vs20141S-Weekday-23,2714159-20141S-vs20141S-Weekday-23,"20 - University via Westside",473127,200013
20-89,20141S-vs20141S-Weekday-23,2714160-20141S-vs20141S-Weekday-23,"20 - University via Westside",473149,200017
19-89,20141S-vs20141S-Weekday-23,2714161-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473132,190011
16-89,20141S-vs20141S-Weekday-23,2714162-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
20-89,20141S-vs20141S-Weekday-23,2714163-20141S-vs20141S-Weekday-23,"20 - University via Westside",473140,200013
19-89,20141S-vs20141S-Weekday-23,2714164-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473143,190011
10-89,20141S-vs20141S-Weekday-23,2714165-20141S-vs20141S-Weekday-23,"10 - University via High St.",473154,100003
16-89,20141S-vs20141S-Weekday-23,2714166-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
19-89,20141S-vs20141S-Weekday-23,2714167-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473132,190011
16-89,20141S-vs20141S-Weekday-23,2714168-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
20-89,20141S-vs20141S-Weekday-23,2714169-20141S-vs20141S-Weekday-23,"20 - University via Westside",473149,200017
19-89,20141S-vs20141S-Weekday-23,2714170-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473143,190011
10-89,20141S-vs20141S-Weekday-23,2714171-20141S-vs20141S-Weekday-23,"10 - University via High St.",473216,100003
16-89,20141S-vs20141S-Weekday-23,2714172-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
19-89,20141S-vs20141S-Weekday-23,2714173-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473132,190011
16-89,20141S-vs20141S-Weekday-23,2714174-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
20-89,20141S-vs20141S-Weekday-23,2714175-20141S-vs20141S-Weekday-23,"20 - University via Westside",473127,200017
10-89,20141S-vs20141S-Weekday-23,2714176-20141S-vs20141S-Weekday-23,"10 - University via High St.",473212,100003
19-89,20141S-vs20141S-Weekday-23,2714177-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473143,190011
16-89,20141S-vs20141S-Weekday-23,2714178-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
19-89,20141S-vs20141S-Weekday-23,2714179-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473132,190011
16-89,20141S-vs20141S-Weekday-23,2714180-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
20-89,20141S-vs20141S-Weekday-23,2714181-20141S-vs20141S-Weekday-23,"20 - University via Westside",473130,200013
19-89,20141S-vs20141S-Weekday-23,2714182-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473143,190011
10-89,20141S-vs20141S-Weekday-23,2714183-20141S-vs20141S-Weekday-23,"10 - University via High St.",473136,100003
16-89,20141S-vs20141S-Weekday-23,2714184-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
16-89,20141S-vs20141S-Weekday-23,2714185-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473171,160009
20-89,20141S-vs20141S-Weekday-23,2714186-20141S-vs20141S-Weekday-23,"20 - University via Westside",473132,200013
19-89,20141S-vs20141S-Weekday-23,2714187-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473130,190011
16-89,20141S-vs20141S-Weekday-23,2714188-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
16-89,20141S-vs20141S-Weekday-23,2714189-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473171,160009
20-89,20141S-vs20141S-Weekday-23,2714190-20141S-vs20141S-Weekday-23,"20 - University via Westside",473132,200013
19-89,20141S-vs20141S-Weekday-23,2714191-20141S-vs20141S-Weekday-23,"19 - University via Lower Bay",473130,190011
16-89,20141S-vs20141S-Weekday-23,2714192-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
16-89,20141S-vs20141S-Weekday-23,2714193-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473171,160009
16-89,20141S-vs20141S-Weekday-23,2714194-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473142,160009
16-89,20141S-vs20141S-Weekday-23,2714195-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
68-89,20141S-vs20141S-Weekday-23,2714196-20141S-vs20141S-Weekday-23,"68 - Broadway - Portola - Capitola Mall",473101,680009
66-89,20141S-vs20141S-Weekday-23,2714197-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th-Santa Cruz Metro",473101,660007
68-89,20141S-vs20141S-Weekday-23,2714198-20141S-vs20141S-Weekday-23,"68 - Broadway - Portola - SC Metro",473160,680010
68-89,20141S-vs20141S-Weekday-23,2714199-20141S-vs20141S-Weekday-23,"68 - Broadway - Portola - SC Metro",473155,680010
16-89,20141S-vs20141S-Weekday-23,2714200-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
16-89,20141S-vs20141S-Weekday-23,2714201-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
16-89,20141S-vs20141S-Weekday-23,2714202-20141S-vs20141S-Weekday-23,"16 - University via Laurel East",473162,160009
66-89,20141S-vs20141S-Weekday-23,2714203-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th - Capitola Mall",473160,660009
66-89,20141S-vs20141S-Weekday-23,2714204-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th - Capitola Mall",473155,660009
66-89,20141S-vs20141S-Weekday-23,2714205-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th-Santa Cruz Metro",473155,660007
35-89,20141S-vs20141S-Weekday-23,2714206-20141S-vs20141S-Weekday-23,"35 - Santa Cruz Metro",473104,350057
35-89,20141S-vs20141S-Weekday-23,2714207-20141S-vs20141S-Weekday-23,"35 - Hwy 9 - Country Club",473104,350033
35-89,20141S-vs20141S-Weekday-23,2714208-20141S-vs20141S-Weekday-23,"35 - Glen Arbor - SVTC",473105,350047
35-89,20141S-vs20141S-Weekday-23,2714209-20141S-vs20141S-Weekday-23,"35 - Hwy 9 - Country Club",473106,350036
35-89,20141S-vs20141S-Weekday-23,2714210-20141S-vs20141S-Weekday-23,"35 - Glen Arbor - Mt. Store - Sylvan Way",473102,350035
35-89,20141S-vs20141S-Weekday-23,2714211-20141S-vs20141S-Weekday-23,"35 - Boulder Creek",473102,350048
66-89,20141S-vs20141S-Weekday-23,2714212-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th - Capitola Mall",473223,660009
68-89,20141S-vs20141S-Weekday-23,2714213-20141S-vs20141S-Weekday-23,"68 - Broadway - Portola - SC Metro",473223,680010
68-89,20141S-vs20141S-Weekday-23,2714214-20141S-vs20141S-Weekday-23,"68 - Broadway - Portola - Capitola Mall",473223,680009
66-89,20141S-vs20141S-Weekday-23,2714215-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th-Santa Cruz Metro",473223,660007
68-89,20141S-vs20141S-Weekday-23,2714216-20141S-vs20141S-Weekday-23,"68 - Broadway - Portola - Capitola Mall",473223,680009
66-89,20141S-vs20141S-Weekday-23,2714217-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th-Santa Cruz Metro",473155,660007
68-89,20141S-vs20141S-Weekday-23,2714218-20141S-vs20141S-Weekday-23,"68 - Broadway - Portola - Capitola Mall",473155,680009
66-89,20141S-vs20141S-Weekday-23,2714219-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th - Capitola Mall",473155,660009
68-89,20141S-vs20141S-Weekday-23,2714220-20141S-vs20141S-Weekday-23,"68 - Broadway - Portola - SC Metro",473163,680010
55-89,20141S-vs20141S-Weekday-23,2714221-20141S-vs20141S-Weekday-23,"55 - Rio Del Mar",473163,550006
68-89,20141S-vs20141S-Weekday-23,2714223-20141S-vs20141S-Weekday-23,"68 - Broadway - Portola - SC Metro",473101,680010
66-89,20141S-vs20141S-Weekday-23,2714224-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th - Capitola Mall",473163,660010
68-89,20141S-vs20141S-Weekday-23,2714225-20141S-vs20141S-Weekday-23,"68 - Broadway - Portola - Capitola Mall",473101,680009
68-89,20141S-vs20141S-Weekday-23,2714226-20141S-vs20141S-Weekday-23,"68 - Broadway - Portola - SC Metro",473101,680010
55-89,20141S-vs20141S-Weekday-23,2714227-20141S-vs20141S-Weekday-23,"55 - Rio Del Mar",473155,550006
68-89,20141S-vs20141S-Weekday-23,2714229-20141S-vs20141S-Weekday-23,"68 - Broadway - Portola - SC Metro",473155,680010
55-89,20141S-vs20141S-Weekday-23,2714230-20141S-vs20141S-Weekday-23,"55 - Rio Del Mar",473101,550006
66-89,20141S-vs20141S-Weekday-23,2714231-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th - Capitola Mall",473101,660009
66-89,20141S-vs20141S-Weekday-23,2714232-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th-Santa Cruz Metro",473101,660007
66-89,20141S-vs20141S-Weekday-23,2714233-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th-Santa Cruz Metro",473163,660007
66-89,20141S-vs20141S-Weekday-23,2714234-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th - Capitola Mall",473155,660009
68-89,20141S-vs20141S-Weekday-23,2714235-20141S-vs20141S-Weekday-23,"68 - Broadway - Portola - Capitola Mall",473163,680009
66-89,20141S-vs20141S-Weekday-23,2714236-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th - Capitola Mall",473101,660009
66-89,20141S-vs20141S-Weekday-23,2714237-20141S-vs20141S-Weekday-23,"66 - Live Oak via 17th-Santa Cruz Metro",473155,660007
68-89,20141S-vs20141S-Weekday-23,2714238-20141S-vs20141S-Weekday-23,"68 - Broadway - Portola - SC Metro",473107,680010
